"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 4, 8, 88
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 134, 0, 3, 18, 155
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/confirmation-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 5, 11, 103
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 3, 2, 16
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 2, 6, 62
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/loading-spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/password-input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 1, 9, 57
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 1, 13, 85
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 85, 0, 0, 6, 91
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/hooks/__tests__/useConfirmation.test.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 4, 23, 108
